round,task_id,train_loss,global_test_acc,global_test_loss,comm_cost_mb,task_0_acc,task_1_acc,task_2_acc
0,0,,0.11822031749012703,1.978193592391565,0.0,0.11987541364333859,0.11798053722025456,0.11680500160678794
1,0,2.1410399847142023,0.13328664388527847,1.846720059898707,409.2384338378906,0.16489689647826056,0.11648262214233035,0.11848041303524448
2,0,2.0668345768767917,0.14017083039672787,1.8162277544372964,818.4768676757812,0.18054504412411074,0.11688962939366006,0.1230778176724128
3,0,1.944233536132389,0.14177914233828418,1.7915501048847902,1227.7153015136719,0.19094631738505158,0.1167079219039854,0.11768318772581556
4,0,1.9340148686328866,0.14568422748307078,1.804019489179724,1636.9537353515625,0.20352876709142756,0.11819307725026852,0.11533083810751629
5,0,1.8048532175910732,0.14892580945875186,1.739885450089943,2046.1921691894531,0.21094822029409027,0.11461624389521917,0.12121296418694616
6,0,1.7746985163709512,0.15202753585115544,1.7463952596230712,2455.4306030273438,0.22851212856737052,0.11936720061489295,0.10820327837120285
7,0,1.6909982007684377,0.16115003651807,1.6870361505686011,2864.6690368652344,0.2469481470910254,0.11936384323455909,0.11713811922862546
8,0,1.598301022706589,0.16009273269918836,1.6979048815986997,3273.907470703125,0.2484988914405394,0.1220499210579047,0.10972938559912102
9,0,1.416764805291688,0.16437513810144475,1.7011535565746472,3683.1459045410156,0.2680495134547457,0.11715720927568647,0.10791869157390209
10,0,1.3636620220716953,0.17086804050252835,1.632593714091198,4092.3843383789062,0.27615753083379074,0.12197464308250969,0.11447194759128469
11,0,1.2915235395354268,0.16778145601739766,1.6407889401304023,4501.622772216797,0.28426068308448704,0.11385417732261531,0.1052295076450906
12,0,1.2423558207796421,0.1760971091173743,1.6185136146890773,4910.8612060546875,0.30088789281409895,0.11472532598782924,0.11267810855019476
13,0,1.2619553888435653,0.17886326903424912,1.594182954293982,5320.099639892578,0.313939131571682,0.11026295183884913,0.11238772369221627
14,0,1.076219563532487,0.1836601598275799,1.571199891220071,5729.338073730469,0.3201670673234205,0.11786502646328938,0.11294838569602986
15,0,1.0953237575348493,0.18682808326452463,1.5533171441196114,6138.576507568359,0.33685989684410544,0.11289650154244664,0.11072785140702186
16,0,1.0185621602984518,0.18740614952192167,1.5774616560632668,6547.81494140625,0.3425868328160843,0.11048677197549049,0.10914484377419015
17,0,1.0092096624754323,0.19244088547927865,1.5417151237658888,6957.053375244141,0.3644643861418857,0.11094853382508063,0.10190973647086969
18,0,0.8695628821655762,0.19122986897485317,1.5635023647972162,7366.291809082031,0.3648270884991278,0.1059083871742941,0.10295413125113761
19,0,0.9455636120538481,0.19692669210532696,1.4987826730958693,7775.530242919922,0.3833751140775535,0.10367101657664032,0.10373394566178709
