round,task_id,train_loss,global_test_acc,global_test_loss,comm_cost_mb,task_0_acc,task_1_acc,task_2_acc
0,0,,0.10501928711628934,2.074494843583326,0.0,0.10187752503676098,0.10213304608634868,0.11104729022575836
1,0,2.2433348273319687,0.11952743437572928,1.9435194131451794,91.24946594238281,0.14728066469620502,0.10598753383733801,0.10531410459364479
2,0,2.0817379479263955,0.12879243810925503,1.9010921713433329,182.49893188476562,0.1754698897278859,0.10673389755878364,0.1041735270410955
3,0,1.91510681690717,0.130133583724879,1.876307288560038,273.74839782714844,0.18443233111236654,0.10009715274408207,0.10587126731818836
4,0,1.95844140441302,0.1376482152999447,1.8408689821281663,364.99786376953125,0.20341349471167688,0.103456335232157,0.1060748159560002
5,0,1.7647591454282323,0.1414652727859652,1.8078175693742133,456.24732971191406,0.2232631429168762,0.10085321147450176,0.10027946396651766
6,0,1.6482942486307701,0.1484709635680675,1.73853584402721,547.4967956542969,0.24073356946902927,0.10176106799372477,0.10291825324144845
7,0,1.6181891794196395,0.15727761620351355,1.7158561707531164,638.7462615966797,0.2607606071945537,0.10514087765919279,0.10593136375679416
8,0,1.5634027942296567,0.15954366741853476,1.6847716079110635,729.9957275390625,0.27143463487596226,0.10782516585441966,0.09937120152522236
9,0,1.4855158494173801,0.16254155779887475,1.6995701355686346,821.2451934814453,0.28790862899792585,0.10270161405671047,0.09701443034198792
10,0,1.4203879012391858,0.16815517017744117,1.652098402501476,912.4946594238281,0.30504253588301355,0.09788146025187165,0.10154151439743823
11,0,1.319464343494772,0.17633350037458906,1.6109055153294491,1003.7441253662109,0.3267556778014055,0.10146008675844558,0.10078473656391607
12,0,1.2902134155099998,0.18493794536793162,1.5933307755327155,1094.9935913085938,0.3427353921045515,0.10944534453845124,0.10263309946079217
13,0,1.139498399538738,0.18790252704559032,1.5660704813147155,1186.2430572509766,0.36236326871694485,0.09888672609779492,0.10245758632203118
14,0,1.1858978031207694,0.1935640953809117,1.5066992150737255,1277.4925231933594,0.3729324651587851,0.1051510587086822,0.10260876227526786
15,0,1.110660883636906,0.19915307940119908,1.506081339115425,1368.7419891357422,0.3862752975603577,0.10490923823731749,0.10627470240592203
16,0,1.0962782732389125,0.2082800390003525,1.4886121471565836,1459.991455078125,0.40871526519927565,0.10890855561576633,0.10721629618601551
17,0,0.9848006638210892,0.21478356779620297,1.4553156447309794,1551.2409210205078,0.42676587817702766,0.10925431168289465,0.10833051352868657
